Date-Time,Region,Facility,Entrance,Entries,Exits
12/11/19 12:00 PM,UC Berkeley,SOCR Library,SOCR,12,14
12/11/19 1:00 PM,,,TEST,0,0
12/11/19 1:00 PM,UC Berkeley,AHC Library,AHC Back,1,5
12/11/19 1:00 PM,UC Berkeley,AHC Library,AHC Front,2,6
12/11/19 1:00 PM,UC Berkeley,ANTH Library,ANTH,56,44
12/11/19 1:00 PM,UC Berkeley,BANC Library,Bancroft,65,67
12/11/19 1:00 PM,UC Berkeley,BIOS Library,VLSB1,106,92
12/11/19 1:00 PM,UC Berkeley,BIOS Library,VLSB2,100,56
12/11/19 1:00 PM,UC Berkeley,CHEM Library,CHEM,59,61
12/11/19 1:00 PM,UC Berkeley,DOE Library,Doe North,197,145
12/11/19 1:00 PM,UC Berkeley,DOE Library,Doe South,158,145
12/11/19 1:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,115,187
12/11/19 1:00 PM,UC Berkeley,DOE STACKS,Stacks East,105,103
12/11/19 1:00 PM,UC Berkeley,EAL Library,EAL,84,72
12/11/19 1:00 PM,UC Berkeley,EART Library,Earth North,18,21
12/11/19 1:00 PM,UC Berkeley,EART Library,Earth South,17,13
12/11/19 1:00 PM,UC Berkeley,ENGI Library,ENGI,177,138
12/11/19 1:00 PM,UC Berkeley,ENVI Library,ENVI,143,143
12/11/19 1:00 PM,UC Berkeley,GRDS Library,GRAD,19,24
12/11/19 1:00 PM,UC Berkeley,HAAS Library,HAAS 2F,114,124
12/11/19 1:00 PM,UC Berkeley,HAAS Library,HAAS 3F,55,56
12/11/19 1:00 PM,UC Berkeley,MATH Library,MATH,58,37
12/11/19 1:00 PM,UC Berkeley,MOFF Library,Moffit Entry,319,6
12/11/19 1:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,215
12/11/19 1:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,300,192
12/11/19 1:00 PM,UC Berkeley,MORR Library,Morrison,23,28
12/11/19 1:00 PM,UC Berkeley,MUSI,MUSI,71,66
12/11/19 1:00 PM,UC Berkeley,NEWS Library,News,10,7
12/11/19 1:00 PM,UC Berkeley,OPTO Library,OPTO,22,15
12/11/19 1:00 PM,UC Berkeley,PHYS Library,PHYS,15,15
12/11/19 1:00 PM,UC Berkeley,SEAL Library,SEAL,8,6
12/11/19 1:00 PM,UC Berkeley,SOCR Library,SOCR,16,11
12/11/19 2:00 PM,,,TEST,0,0
12/11/19 2:00 PM,UC Berkeley,AHC Library,AHC Back,7,4
12/11/19 2:00 PM,UC Berkeley,AHC Library,AHC Front,13,12
12/11/19 2:00 PM,UC Berkeley,ANTH Library,ANTH,56,49
12/11/19 2:00 PM,UC Berkeley,BANC Library,Bancroft,67,96
12/11/19 2:00 PM,UC Berkeley,BIOS Library,VLSB1,94,110
12/11/19 2:00 PM,UC Berkeley,BIOS Library,VLSB2,81,56
12/11/19 2:00 PM,UC Berkeley,CHEM Library,CHEM,72,75
12/11/19 2:00 PM,UC Berkeley,DOE Library,Doe North,242,143
12/11/19 2:00 PM,UC Berkeley,DOE Library,Doe South,155,149
12/11/19 2:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,124,201
12/11/19 2:00 PM,UC Berkeley,DOE STACKS,Stacks East,91,109
12/11/19 2:00 PM,UC Berkeley,EAL Library,EAL,94,60
12/11/19 2:00 PM,UC Berkeley,EART Library,Earth North,15,18
12/11/19 2:00 PM,UC Berkeley,EART Library,Earth South,16,11
12/11/19 2:00 PM,UC Berkeley,ENGI Library,ENGI,245,154
12/11/19 2:00 PM,UC Berkeley,ENVI Library,ENVI,123,123
12/11/19 2:00 PM,UC Berkeley,GRDS Library,GRAD,39,21
12/11/19 2:00 PM,UC Berkeley,HAAS Library,HAAS 2F,134,137
12/11/19 2:00 PM,UC Berkeley,HAAS Library,HAAS 3F,45,51
12/11/19 2:00 PM,UC Berkeley,MATH Library,MATH,57,65
12/11/19 2:00 PM,UC Berkeley,MOFF Library,Moffit Entry,388,13
12/11/19 2:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,254
12/11/19 2:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,266,201
12/11/19 2:00 PM,UC Berkeley,MORR Library,Morrison,32,21
12/11/19 2:00 PM,UC Berkeley,MUSI,MUSI,94,73
12/11/19 2:00 PM,UC Berkeley,NEWS Library,News,13,13
12/11/19 2:00 PM,UC Berkeley,OPTO Library,OPTO,36,36
12/11/19 2:00 PM,UC Berkeley,PHYS Library,PHYS,16,12
12/11/19 2:00 PM,UC Berkeley,SEAL Library,SEAL,12,9
12/11/19 2:00 PM,UC Berkeley,SOCR Library,SOCR,22,10
12/11/19 3:00 PM,,,TEST,0,0
12/11/19 3:00 PM,UC Berkeley,AHC Library,AHC Back,10,6
12/11/19 3:00 PM,UC Berkeley,AHC Library,AHC Front,17,15
12/11/19 3:00 PM,UC Berkeley,ANTH Library,ANTH,46,53
12/11/19 3:00 PM,UC Berkeley,BANC Library,Bancroft,86,60
12/11/19 3:00 PM,UC Berkeley,BIOS Library,VLSB1,102,107
12/11/19 3:00 PM,UC Berkeley,BIOS Library,VLSB2,108,74
12/11/19 3:00 PM,UC Berkeley,CHEM Library,CHEM,42,61
12/11/19 3:00 PM,UC Berkeley,DOE Library,Doe North,243,185
12/11/19 3:00 PM,UC Berkeley,DOE Library,Doe South,151,181
12/11/19 3:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,166,205
12/11/19 3:00 PM,UC Berkeley,DOE STACKS,Stacks East,112,145
